idOrganizacion,IdLaboratorioCalibracion,ClbFechaRegistro,ClbLugarEjecucion,ClbMagnitud,ClbInstrumento,ClbIntervaloMedicion,ClbIncertidumbreExpandida,ClbPrincipioMedicion,ClbMetodoMedicion,ClbPatronUtilizado,ClbVigenteApartirDe
289,LC-11,--,--,"Intensidad de corriente continua bobina 50 coil","Pinzas Amperimétricas",--,"<p>0,036 A </p><p>0,18 A </p><p>0,25 A </p><p>0,34 A </p><p>1,7 A </p><p>2,4 A</p>",--,--,--,--
289,LC-12,--,--,"Intensidad de corriente alterna (60 Hz a 1 kHz)","Multímetros Digitales de 4 ½ dígitos",--,"<p>0,0077 mA </p><p>0,051 mA </p><p>0,00035 A </p><p>0,0065 A</p>",--,--,--,--
289,LC-13,--,--,"Resistencia Eléctrica","Multímetros Digitales de 4 ½ dígitos",--,"<p>59 mΩ</p><p>63 mΩ</p><p>0,10 Ω</p><p>0,94 Ω</p><p>0,010 kΩ</p><p>0,13 kΩ</p><p>4,5 kΩ</p><p>0,29 MΩ</p>",--,--,--,--
289,LC-14,--,--,"Resistencia Eléctrica","Pinzas Amperimétricas",--,"<p>61 mΩ</p><p>64 mΩ</p><p>0,14 Ω</p><p>1,3 Ω</p><p>5,9 Ω</p>",--,--,--,--
289,LC-15,--,--,"Dimensional longitud","PIE DE REY",--,"<p>Puntas externas</p><p>10 µm</p><p>0,410 µin</p><p>12 µm</p><p>0,482 µin</p><p>Puntas para&nbsp;</p><p>interiores</p><p>8,5 µm</p><p>0,335 µin</p><p>Varilla de&nbsp;</p><p>Profundidad</p><p>5,8 µm</p><p>0,227 µin</p><p><br></p>",--,--,--,--
289,LC-16,--,--,"Dimensional longitud","Micrómetro de exteriores de dos contactos",--,"<p>0,58 µm</p><p>0,0227 µin</p><p>0,59 µm</p><p>0,0233 µin</p><p>0,61 µm</p><p>0,0240 µin</p><p>0,64 µm</p><p>0,0252 µin</p>",--,--,--,--
289,LC-17,--,--,"Dimensional longitud","Comparadores de Carátula",--,"<p>0,83 µm</p><p>0,0325 µin</p>",--,--,--,--
289,LC-18,--,--,"Dimensional longitud (**)","Micrómetro de exteriores de dos contactos",--,"<p>0,69 µm</p><p>0,0270 µin</p><p>0,86 µm</p><p>0,0337 µin</p><p>1,1 µm</p><p>0,0432 µin</p>",--,--,--,--
289,LC-19,--,--,"Corriente alterna bobina 50 coil (60 Hz)","Pinzas Amperimétricas",--,"<p>0,40 A</p><p>0,28 A</p><p>0,40 A</p><p>1,9 A</p><p>2,7 A</p>",--,--,--,--
289,LC-20,--,--,"(**) Frecuencia","Multímetros Digitales de 4 ½ dígitos",--,"<p>8,6 mHz</p><p>8,6 mHz</p><p>0,58 Hz</p><p>0,79 Hz</p>",--,--,--,--
289,LC-21,--,--,"Presión neumática","Medidores de presión relativa con exactitud ≥ 0,25%",--,"<p>2,17 kPa</p><p>0,315 psi</p>",--,--,--,--
289,LC-22,--,--,"Presión hidráulica","Medidores de presión relativa con exactitud ≥ 0,25%",--,"<p>40,9 kPa</p><p>5,9 psi</p>",--,--,--,--
289,LC-23,--,--,"Presión hidráulica","Medidores de presión relativa con exactitud ≥ 0,25%",--,"<p>100,8 kPa</p><p>14,6 psi</p>",--,--,--,--
289,LC-24,--,--,"Presión y vacío","Medidores de presión relativa",--,"<p><strong>Medidores de presión relativa con exactitud ≥ 1%</strong></p><p><u>Presión neumática</u></p><p>2,17 kPa 0,315 psi</p><p><br></p><p><u>Presión hidraúlica</u></p><p>40,9 kPa 5,93 psi</p><p>100,7 kPa 14,6 psi</p>",--,--,--,--
289,LC-25,--,--,Longitud,"CALIBRACIÓN DE CINTAS,CALIBRACIÓN DE CINTAS AFORO Y PLOMADA,Cinta métrica Flexómetro",--,"<p><strong>Flexómetros, cintas y cintas de aforo</strong></p><p><u>Plomada:</u></p><p>0,82 mm (0,032) in</p><p><br></p><p><u>Reglas flexibles:</u></p><p>0,82 mm (0,032) in&nbsp;&nbsp;</p><p>0,84 mm (0,033) in</p>",--,--,--,--
289,LC-26,--,--,"Dimensional longitud (**)","PIE DE REY",--,"<p><br></p><p><br></p><p>5,8 µm </p><p>0,227 µin</p>",--,--,--,--
289,LC-27,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>0,018 N·m</p><p>0,16 lbf·in</p><p>0,013 lbf·ft</p>",--,--,--,--
289,LC-28,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>0,19 N·m</p><p>1,7 lbf·in</p><p>0,14 lbf·ft</p>",--,--,--,--
289,LC-29,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>0,17 N·m</p><p>1,5 lbf·in</p><p>0,13 lbf·ft</p>",--,--,--,--
289,LC-30,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>0,60 N·m</p><p>5,3 lbf·in</p><p>0,44 lbf·ft</p>",--,--,--,--
289,LC-31,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>1,6 N·m</p><p>1,2 lbf·ft</p>",--,--,--,--
289,LC-32,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>0,023 N·m</p><p>0,20 lbf·in</p><p>0,017 lbf·ft</p>",--,--,--,--
289,LC-33,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>0,20 N·m</p><p>1,8 lbf·in</p><p>0,15 lbf·ft</p>",--,--,--,--
289,LC-34,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>0,20 N·m</p><p>1,8 lbf·in</p><p>0,15 lbf·ft</p>",--,--,--,--
289,LC-35,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>0,77 N·m</p><p>6,8 lbf·in</p><p>0,57 lbf·ft</p>",--,--,--,--
289,LC-36,--,--,"Mecánica
Momentos","Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario",--,"<p>1,8 N·m</p><p>1,3 lbf·ft</p>",--,--,--,--
25,LC-37,--,--,Vacío,"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p><span style="color: black;">0,0076 PSI</span></p><p><span style="color: black;">0,053 kPa</span></p>",--,--,--,--
25,LC-38,--,--,"Presión hidráulica","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,0046&nbsp;PSI</p><p>0,032 kPa</p>",--,--,--,--
25,LC-39,--,--,"Presión hidráulica","Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud ≥ 0,25% del intervalo de medida",--,"<p>0,039 psi 0,27 kPa</p>",--,--,--,--
25,LC-40,--,--,"Presión Hidráulica","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,12 psi</p><p>0,83 kPa</p>",--,--,--,--
25,LC-41,--,--,"Presión hidráulica","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,43 psi</p><p>3,0 kPa</p>",--,--,--,--
25,LC-42,--,--,"Presión hidráulica","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,84 psi</p><p>5,8 kPa</p>",--,--,--,--
25,LC-43,--,--,"Presión hidráulica","Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud ≥ 0,25% del intervalo de medida",--,"<p>5,8 psi 40,0 kPa</p>",--,--,--,--
25,LC-44,--,--,"Presión neumática","Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud ≥ 0,25% del intervalo de medida",--,"<p>0,039 psi</p><p>0,27 kPa</p>",--,--,--,--
25,LC-45,--,--,"Presión neumática","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,12 psi</p><p>0,83 kPa</p>",--,--,--,--
25,LC-46,--,--,"Presión neumática","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,0046 psi</p><p>0,032 kPa</p>",--,--,--,--
25,LC-47,--,--,"Presión neumática","Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud ≥ 0,25% del intervalo de medida",--,"<p>0,039 psi</p><p>0,27 kPa</p>",--,--,--,--
25,LC-48,--,--,"Presión neumática","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,12 psi</p><p>0,83 kPa</p>",--,--,--,--
25,LC-49,--,--,"Presión hidráulica","Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud ≥ 0,25% del intervalo de medida",--,"<p>0,039 psi</p><p>0,27 kPa</p>",--,--,--,--
25,LC-50,--,--,"Presión Hidráulica","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,12 psi</p><p>0,83 kPa</p>",--,--,--,--
25,LC-51,--,--,"Presión Hidráulica","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,43 psi</p><p>3,0 kPa</p>",--,--,--,--
25,LC-52,--,--,"Presión Hidráulica","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,84 psi</p><p>5,8 kPa</p>",--,--,--,--
25,LC-53,--,--,"Presión Hidráulica","Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud ≥ 0,25% del intervalo de medida",--,"<p>5,8 psi</p><p>40,0 kPa</p>",--,--,--,--
25,LC-54,--,--,"Presión neumática","Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,0046 psi</p><p>0,032 kPa </p>",--,--,--,--
25,LC-55,--,--,Vacío,"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud ≥ 0,1% del
intervalo de medida",--,"<p>0,0076 PSI</p><p>0,053 kPa</p>",--,--,--,--
25,LC-56,--,--,Temperatura,"Termómetros
digitales de contacto
directo",--,"<p>0.24 °C</p><p><br></p><p>0,20 °C</p><p><br></p><p>0.19 °C</p><p><br></p><p>0.22 °C</p><p><br></p><p>0.41 °C</p>",--,--,--,--
25,LC-57,--,--,Temperatura,"Termómetros analógicos de contacto de lectura directa",--,"<p>0.53 °C</p><p>0.36 °C</p><p>0.61 °C</p><p>1.2 °C</p>",--,--,--,--
25,LC-58,--,--,Temperatura,"Termómetros
digitales de contacto
directo",--,"<p>0.24 °C</p><p>0,20 °C</p><p>0.19 °C</p><p>0.22 °C</p><p>0.41 °C</p>",--,--,--,--
25,LC-59,--,--,Temperatura,"Termómetros analógicos 
de Contacto de
lectura  directa  “Termómetros bimetálicos  o  actuados a gas”",--,"<p>0.53 °C</p><p>0.36 °C</p><p>0.61 °C</p><p>1.2 °C</p>",--,--,--,--
660,LC-60,--,--,Masa,"Pesas Clase E2 o inferiores",--,"<p><strong><em>0,0020 mg</em></strong></p><p><strong><em>0,0020 mg</em></strong></p><p><strong><em>0,0020 mg</em></strong></p><p><strong><em>0,0025 mg</em></strong></p><p>0,003 mg</p><p>0,004 mg</p><p>0,005 mg</p><p>0,006 mg</p><p>0,008 mg</p><p>0,010 mg</p><p>0,012 mg</p><p>0,016 mg</p><p>0,020 mg</p><p>0,025 mg</p><p>0,03 mg</p><p>0,05 mg</p><p>0,10 mg</p><p>0,25 mg</p><p>0,50 mg</p><p>1,0 mg</p>",--,--,--,--
660,LC-61,--,--,Masa,"Pesas Clase M2 o inferiores",--,"<p>250 mg</p><p>500 mg</p><p>1 000 mg</p><p>5 000 mg</p>",--,--,--,--
660,LC-62,--,--,Temperatura,"Termómetros digitales",--,"<p>0,028 °C </p><p>0,028 °C</p><p>0,032 °C</p><p>0,040 °C</p><p>0,052 °C</p><p>0,063 °C</p><p>0,097 °C</p><p><strong><em>0,15 °C</em></strong></p>",--,--,--,--
660,LC-63,--,--,Temperatura,"Termómetros bimetálico",--,"<p><strong><em>0,18 °C</em></strong></p><p><strong><em>0,089 °C</em></strong></p><p><strong><em>0,15 °C</em></strong></p><p><strong><em>0,16 °C</em></strong></p><p><strong><em>0,28 °C</em></strong></p><p><strong><em>0,32 °C</em></strong></p><p><strong><em>0,65 °C</em></strong></p>",--,--,--,--
660,LC-64,--,--,Temperatura,"Termómetros de Líquido en Vidrio de Inmersión Parcial",--,"<p class="ql-align-center">   0,064 °C</p><p class="ql-align-center">   0,064 °C</p><p class="ql-align-center">   0,066 °C</p><p class="ql-align-center">   0,070 °C</p><p class="ql-align-center">   0,076 °C</p><p class="ql-align-center">   0,083 °C</p><p class="ql-align-center">   0,096 °C</p><p class="ql-align-center">   0,10 °C</p><p class="ql-align-center">   0,14 °C</p><p class="ql-align-center">   0,16 °C</p><p class="ql-align-center">   0,19 °C</p><p class="ql-align-center">   </p><p><br></p>",--,--,--,--
660,LC-65,--,--,Temperatura,"Termómetros de Líquido en Vidrio de Inmersión total",--,"<p class="ql-align-center">   &nbsp;</p><p class="ql-align-center">0,064 °C</p><p class="ql-align-center">   0,070 °C</p><p class="ql-align-center">   0,086 °C</p><p class="ql-align-center">   0,11 °C</p><p class="ql-align-center">   0,15 °C</p><p class="ql-align-center">   0,21 °C</p><p class="ql-align-center">   0,39 °C</p><p class="ql-align-center">   0,41 °C</p><p class="ql-align-center">   0,38 °C</p><p class="ql-align-center">   0,71 °C</p><p class="ql-align-center">   </p><p><br></p>",--,--,--,--
660,LC-66,--,--,"Temperatura y Humedad Relativa","Calibración de Termohigrómetros,  Termómetros de Interiores y Dataloggers",--,"<p class="ql-align-justify"><strong><em>0,72 %HR</em></strong></p><p class="ql-align-justify"><strong><em>0,81 %HR</em></strong></p><p class="ql-align-justify"><strong><em>0,75 %HR</em></strong></p><p class="ql-align-justify"><strong><em>1,2 %HR</em></strong></p><p><br></p>",--,--,--,--
660,LC-67,--,--,"Temperatura y Humedad Relativa","Calibración de Termohigrómetros,  Termómetros de Interiores y Dataloggers",--,"<p class="ql-align-justify"><strong style="color: black;"><em>0,11 °C</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,16 °C</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,19 °C</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,23 °C</em></strong></p><p><strong style="color: black;"><em>0,23 °C</em></strong></p>",--,--,--,--
660,LC-68,--,--,Volumen,"Instrumentos Volumétricos por el Método Gravimétrico
(Pipetas Aforadas)
(Matraces Aforadas)",--,"<p class="ql-align-justify"><strong style="color: black;"><em>0,32 µl</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,58 µl</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,93 µl</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,94 µl</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>1,2 µl</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>1,4 µl</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>1,4 µl</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>1,9 µl</em></strong></p><p><strong style="color: black;"><em>3,3 µl</em></strong></p>",--,--,--,--
660,LC-69,--,--,Volumen,"Instrumentos Volumétricos por el Método Gravimétrico
(Matraces Aforadas)",--,"<p class="ql-align-justify"><span style="color: black;">2,2 µl</span></p><p class="ql-align-justify"><span style="color: black;">2,2 µl</span></p><p class="ql-align-justify"><span style="color: black;">2,2 µl</span></p><p class="ql-align-justify"><span style="color: black;">2,2 µl</span></p><p class="ql-align-justify"><span style="color: black;">3,7 µl</span></p><p class="ql-align-justify"><span style="color: black;">3,7 µl</span></p><p class="ql-align-justify"><span style="color: black;">5,5 µl</span></p><p class="ql-align-justify"><span style="color: black;">7,7 µl</span></p><p class="ql-align-justify"><span style="color: black;">12 µl</span></p><p class="ql-align-justify"><span style="color: black;">12 µl</span></p><p class="ql-align-justify"><span style="color: black;">17 µl</span></p><p class="ql-align-justify"><strong style="color: black;"><em>± 58 µl</em></strong></p><p><br></p>",--,--,--,--
660,LC-70,--,--,Volumen,"Instrumentos Volumétricos por el Método Gravimétrico
(Pipetas Graduadas)",--,"<p><strong style="color: black;"><em>7,7 nl + 0,021 µl/ml</em></strong></p>",--,--,--,--
660,LC-71,--,--,Volumen,"Instrumentos Volumétricos por el Método Gravimétrico
(Probetas Graduadas)",--,"<p class="ql-align-justify"><strong style="color: black;"><em>0,030 µl + 0,018 µl/ml</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,066 µl + 0,017 µl/ml</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,13 µl + 0,018 µl/ml</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,091 µl + 0,020 µl/ml</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,40 µl + 0,019 µl/ml</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>1,2 µl + 0,017 µl/ml</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>1,3 µl + 0,019 µl/ml</em></strong></p><p><strong style="color: black;"><em>4,3 µl + 0,019 µl/ml</em></strong></p>",--,--,--,--
660,LC-72,--,--,Volumen,"Instrumentos Volumétricos por el Método Gravimétrico
(Pipeta de Pistón)",--,"<p class="ql-align-justify"><strong style="color: black;"><em>0,0031 μl</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>1,5 nl + 0,13 nl/ml 2,0 nl + 0,14 nl/ml</em></strong></p><p><strong style="color: black;"><em>-4,0 nl + 0,14 nl/ml</em></strong></p>",--,--,--,--
660,LC-73,--,--,Volumen,"Instrumentos Volumétricos por el Método Gravimétrico
(Buretas de Pistón)",--,"<p class="ql-align-justify"><strong style="color: black;"><em>0,14 µl</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,28 µl</em></strong></p><p class="ql-align-justify"><span style="color: black;">0,71 µl</span></p><p class="ql-align-justify"><span style="color: black;">1,4 µl</span></p><p class="ql-align-justify"><span style="color: black;">3,5 µl</span></p><p><span style="color: black;">7,1 µl</span></p>",--,--,--,--
660,LC-74,--,--,Volumen,"Instrumentos Volumétricos por el Método Gravimétrico
(Dispensadores)",--,"<p class="ql-align-justify"><strong style="color: black;"><em>8,1 nl + 0,13 µl/ml </em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>1,1 nl + 0,14 µl/ml </em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>5,7 nl + 0,14 µl/ml </em></strong></p><p><strong style="color: black;"><em>0,14 µl/ml</em></strong></p>",--,--,--,--
660,LC-75,--,--,Densidad,"Hidrómetros en Baumé (°Bé) para SG<1",--,"<p class="ql-align-justify"><strong style="color: black;"><em>0,040 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,012 °Bé</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,064 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,012 °Bé</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,082 kg/m³</em></strong></p><p><strong style="color: black;"><em>0,012 °Bé</em></strong></p>",--,--,--,--
660,LC-76,--,--,Densidad,"Lactómetros en Quevenne (°Q)",--,"<p class="ql-align-justify"><strong style="color: black;"><em>0,060 kg/m³</em></strong></p><p><strong style="color: black;"><em>0,060 °Q</em></strong></p>",--,--,--,--
660,LC-77,--,--,Longitud,"Pies de Rey con
indicación digital",--,"<p><span style="color: black;">8,2 µm</span></p>",--,--,--,--
660,LC-78,--,--,Longitud,"Pies de Rey con Vernier",--,"<p><span style="color: black;">16 µm</span></p>",--,--,--,--
660,LC-79,--,--,"Tensión corriente continua","Multímetros digitales hasta 5 ½ dígitos",--,"<p class="ql-align-justify"><strong style="color: black;"><em>4,2 µV + 34 µV/V</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>9,3 µV + 34 µV/V</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>4,1 µV + 31 µV/V</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,83 mV + 35 µV/V</em></strong></p><p><strong style="color: black;"><em>9,0 mV + 32 µV/V</em></strong></p>",--,--,--,--
660,LC-80,--,--,"Intensidad corriente continua","Multímetros digitales hasta 5 ½ dígitos",--,"<p class="ql-align-justify"><strong style="color: black;"><em>35 nA + 0,12 nA/µA </em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>45 nA + 97 nA/mA</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,19 µA + 92 nA/mA</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>-5,2 µA + 0,28 µA/mA</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>39 µA + 0,24 mA/A</em></strong></p><p><strong style="color: black;"><em>0,23 mA + 0,53 mA/A</em></strong></p>",--,--,--,--
660,LC-81,--,--,Densidad,"Hidrómetros de Gravedad Específica (sp/gr),Hidrómetros de Densidad en g/ml (g/cm³)",--,"<p class="ql-align-justify"><strong style="color: black;"><em>0,12 kg/m3</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,059 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,060 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,061 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,062 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,063 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,064 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,065 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,066 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,067 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,068 kg/m³</em></strong></p><p><strong style="color: black;"><em>0,069 kg/m³</em></strong></p>",--,--,--,--
660,LC-82,--,--,Densidad,"Hidrómetros en Baumé (°Bé) para SG >1",--,"<p class="ql-align-justify"><strong style="color: black;"><em>0,082 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,012 °Bé</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,094 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,012 °Bé</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,11 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,012 °Bé</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,13 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,012 °Bé</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,16 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,012 °Bé</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,19 kg/m³</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,012 °Bé</em></strong></p><p class="ql-align-justify"><strong style="color: black;"><em>0,24 kg/m³</em></strong></p><p><strong style="color: black;"><em>0,012 °Bé</em></strong></p>",--,--,--,--
