OnaSiglas,IdOrganizacion,OrgFechaRegistro,OrgNombreComercial,OrgRazonSocial,OrgCodigoAcreditacion,OrgPais,OrgCiudad,OrgDireccion,OrgWeb,orgCorreo,orgTelefono,OrgEstadoAcreditado,OrgEsquemaAcreditado,OrgNormaAcreditada,OrgReconocimiento,OrgFechaEfectivaAcreditacion,OrgPeriodoVigencia,OrgFechaActualizacion,OrgUrlCertificado
SAE,181,--,"AENORECUADOR S.A.","AENORECUADOR S.A.","SAE OI 12-006",Ecuador,Quito,"Av. Naciones Unidas E2-30 y Nuñez de Vela, Edificio Metropolitan, Piso 8, Oficina 811. (Referencia  Frente al  club  de Leones)",NULL,123dherranz@aenor.com,"+593 2-450-7300",Acreditado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-10-10 17:15:21","https://sisac.acreditacion.gob.ec/storage/users/imunoz/accreditation_application/888/pdf_actives_scopes/2024_10_10_22_15_21_Alcances_OAE OI 12-002_20241010_221519.pdf"
SAE,415,--,"AFH SERVICES","LABORATORIO AMBIFORHEALTH SERVICES CÍA LTDA","SAE LEN 05-010",Ecuador,Quito,"DIEGO DE VELASQUEZ OE4-95 Y JOHN F. KENNEDY",NULL,123vtipantunia@afhservices.com.ec,"+593 2-249-3511",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-08-28 09:35:24","https://sisac.acreditacion.gob.ec/storage/users/afhservices2022/accreditation_application/1065/pdf_actives_scopes/2024_08_28_14_35_24_Alcances_OAE PLE 2E 05 001_20240828_143516.pdf"
SAE,221,--,"Agencia de Regulación y Control de Hidrocarburos, ARCH","Agencia de Regulación y Control de Hidrocarburos, ARCH","SAE LEN 15-009",Ecuador,Quito,"Av. Naciones Unidas E7-71 y Av. de los Shyris",NULL,123ucncch@controlrecursosyenergia.gob.ec,"+593 2-396-6500",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-10-24 11:30:05","https://sisac.acreditacion.gob.ec/storage/users/fernandapuga/accreditation_application/352/pdf_actives_scopes/2024_10_24_16_30_05_Alcances_SAE LE 15 - 015_20241024_163003.pdf"
SAE,69,--,"AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO","AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO","SAE LEN 09-003",Ecuador,Quito,"Av. Interoceánica km 14,5 y Eloy Alfaro Granja del MAGAP",NULL,123carolina.campos@agrocalidad.gob.ec,"+593 2-382-8860",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-02-07 02:38:28","https://sisac.acreditacion.gob.ec/storage/users/lab.agrocalidad/accreditation_application/419/pdf_actives_scopes/2024_02_07_07_38_28_Alcances_E-SAE LEN 21.004_20240207_073818.pdf"
SAE,312,--,"AGENCIA NACIONAL DE REGULACIÓN, CONTROL Y VIGILANCIA SANITARIA - ARCSA, DOCTOR LEOPOLDO IZQUIETA PEREZ","AGENCIA NACIONAL DE REGULACIÓN, CONTROL Y VIGILANCIA SANITARIA - ARCSA, DOCTOR LEOPOLDO IZQUIETA PEREZ","SAE LEN 14-003",Ecuador,Guayaquil,"Parque Samanes, Av. Francisco de Orellana y Av. Paseo del Parque. Bloque 5",NULL,123diana.palacios@controlsanitario.gob.ec,043727440,Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-06-26 04:50:13","https://sisac.acreditacion.gob.ec/storage/users/labref/accreditation_application/1948/pdf_actives_scopes/2024_06_26_09_50_13_Alcances_OAE LE 14-002_20240626_095003.pdf"
SAE,13,--,"AGRARPROJEKT S.A","AGRARPROJEKT S.A","SAE LEN 19-014",Ecuador,Quito,"Urbanización el Condado Calle V y Avenida A # 941",NULL,123info@agrarprojekt.com,2490575,Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-03-04 05:12:08","https://sisac.acreditacion.gob.ec/storage/users/agrarprojekt/accreditation_application/1926/pdf_actives_scopes/2024_03_04_10_12_08_Alcances_E - SAE LEN 18 .010_20240304_101203.pdf"
SAE,313,--,"AGRIPAC S.A","AGRIPAC S.A","SAE LEN 20-002",Ecuador,Durán,"Km 5.5 vía Duran Tambo",NULL,123gdsalto@agripac.com.ec,042590695,Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-05-26 07:43:16","https://sisac.acreditacion.gob.ec/storage/users/gwray2022/accreditation_application/1958/pdf_actives_scopes/2024_05_26_12_43_16_Alcances_E SAE LEN 19.017_20240526_124310.pdf"
SAE,267,--,"AGROANALISIS S.A.","AGROANALISIS S.A.","SAE LEN 21-007",Ecuador,Durán,"Oramas Gonzalez, Manzana 5 Solar 2, Parroquia Eloy Alfaro, Durán",NULL,123info@agroanalisis.com.ec,"+593 4-286-3725",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-10-10 07:54:18","https://sisac.acreditacion.gob.ec/storage/users/agroanalisis/accreditation_application/2113/pdf_actives_scopes/2024_10_10_12_54_18_Alcances_E – SAE LEN 21.002_20241010_125414.pdf"
SAE,1360,--,AGROAVILAB,"AGROAVILAB S.A.",SAE-LEN-24-017,Ecuador,Durán,"Calle: DURAN YAGUACHI Y VEHICULAR  ESQUINA Número: MZ F SOLAR 20 Intersección: VEHICULAR Carretera: VIA  DURAN YAGUACHI Kilómetro: 8 1/2 Conjunto:  GRAND PARK Edificio: GRAND PARK Bloque: F  Número de piso: SL20 Manzana: F Referencia:  CERCA DE LA 5TA ETA",NULL,123calidad@agroavilab.com.ec,+0987984868,Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-11-26 04:52:01",https://sisac.acreditacion.gob.ec/storage/users/agro_2024/accreditation_application/2627/pdf_actives_scopes/2024_11_26_09_52_01_Alcances_E-SAE-LEN-024-020_20241126_095200.pdf
SAE,1000,--,"AGROBIOLAB CIA. LTDA.","AGROBIOLAB CIA. LTDA.","SAE LEN 24-011",Ecuador,Quito,"Gonzalo Zaldumbide N49-204 y Luis Calisto",NULL,123gca.agrobiolab@hotmail.com,"+593 2-241-3312",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-10-21 07:24:05",https://sisac.acreditacion.gob.ec/storage/users/dpadilla/accreditation_application/1989/pdf_actives_scopes/2024_10_21_12_24_05_Alcances_E-SAE-LEN-24-006_20241021_122403.pdf
SAE,298,--,"AGUIBULAB S.A.","AGUIBULAB S.A","SAE LEN 20-010",Ecuador,Machala,"CALLEJON 23 DE ABRIL E/ 13AVA NORTE Y 14AVA NORTE",NULL,123y.buele@aguibulab.com,"+593 7-600-2171",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-02-07 02:42:03","https://sisac.acreditacion.gob.ec/storage/users/ybuele1985/accreditation_application/377/pdf_actives_scopes/2024_02_07_07_42_03_Alcances_E - SAE LEN 19 .020_20240207_074157.pdf"
SAE,715,--,ALBEXXUS,"ALBEXXUS CÍA. LTDA.",dddd11,Ecuador,Piñas,"Vía Piñas-Portovelo. Sector: Cazaderos",NULL,123controldecalidad@albexxus.com,"+593 95 946 8636",Acreditado,CALIBRACIÓN,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,NULL,NULL
SAE,292,--,"Alem Cía Ltda","ALVAREZ LARREA EQUIPOS MEDICOS ALEM CIA. LTDA.","SAE LC 20-001",Ecuador,Quito,"Gaspar de Carvajal N30-53 y San Gabriel",NULL,123calibracion@alem.com.ec,"+593 99 816 7709",Acreditado,CALIBRACIÓN,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-02-07 02:48:19","https://sisac.acreditacion.gob.ec/storage/users/alem2022/accreditation_application/697/pdf_actives_scopes/2024_02_07_07_48_19_Alcances_E SAE LCA 19 001_20240207_074811.pdf"
SAE,307,--,"ALFRED H KNIGHT DEL PERU","ALFRED H KNIGHT DEL PERU SAC","SAE LEN 19-002",Perú,Lima,"Urb. Condet Vía Av. Guillermo Dansey Nro1890",NULL,123ahk.ecuador@ahkgroup.com,"+593 98 994 4114",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Internacional,--,--,"2024-08-08 05:50:10","https://sisac.acreditacion.gob.ec/storage/users/ahkecuador/accreditation_application/1145/pdf_actives_scopes/2024_08_08_10_50_10_Alcances_E - SAE LEN 21.012_20240808_105002.pdf"
SAE,75,--,"Allianz Qualitá","Allianz Qualitá Cia. Ltda.","SAE OI 22-002
",Ecuador,Quito,"CL. Isla Isabela 1730 y Av. 6 de diciembre a 100 metros de la Escuela de Policía",NULL,123info@allianzqualita.com,"+593 98 214 9172",Acreditado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-11-20 04:50:07",https://sisac.acreditacion.gob.ec/storage/users/lfrau/accreditation_application/147/pdf_actives_scopes/2024_11_20_09_50_07_Alcances_E-SAE-OI-21-008_20241120_095002.pdf
SAE,2,--,"ALS Ecuador","ALSECU S.A.","SAE LEN 05-005",Ecuador,Quito,"De los Eucaliptos E 3 23 y  de los Cipreses",NULL,123santiago.robles@alsglobal.com,"+593 98 700 3935",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-07-29 06:14:34","https://sisac.acreditacion.gob.ec/storage/users/ALSEcuador2021/accreditation_application/1143/pdf_actives_scopes/2024_07_29_11_14_34_Alcances_OAE PLE 2E 04 009_20240729_111403.pdf"
SAE,121,--,"AMBIENLAB CÍA. LTDA.","AMBIENLAB SERVICIOS AMBIENTALES Y LABORALES CÍA. LTDA.","SAE LEN 19-009",Ecuador,Quito,"Iñaquito, Calle Juan González N35-26 y Juan Pablo Sanz, Edificio Torres Vizcaya, Torre Norte, Piso 2, Oficina 2C.",NULL,123gerencia@ambienlab.com.ec,"+593 98 733 1740",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-10-07 06:40:41","https://sisac.acreditacion.gob.ec/storage/users/jruales2020/accreditation_application/1979/pdf_actives_scopes/2024_10_07_11_40_41_Alcances_E-SAE LEN 19.003_20241007_114019.pdf"
SAE,544,--,AMBIGEST,"AMBIGEST GESTION AMBIENTAL CIA LTDA",SAE-LEN-06-013,Ecuador,Quito,"AROSEMENA TOLA E14-126",NULL,123gerencia@ambigest-lab.com,2465377,Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-11-05 05:40:05","https://sisac.acreditacion.gob.ec/storage/users/ambigest/accreditation_application/1174/pdf_actives_scopes/2024_11_05_10_40_05_Alcances_OAE PLE 2E 05-005_20241105_104002.pdf"
SAE,147,--,Ambigetec,"Ambigetec Laboratorio Ambiental y Gestión Técnica Cía. Ltda. B.I.C.","SAE LEN 22-010",Ecuador,Quito,"Av. 6 de Diciembre N26-32 y Leonidas Batallas",www.ambigetec.com,123ambigetec@gmail.com,"+593 99 849 9044",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-05-30 07:01:34",https://sisac.acreditacion.gob.ec/storage/users/dmoya2022/accreditation_application/1251/pdf_actives_scopes/2024_05_30_12_01_34_Alcances_E-SAE-LEN-22-006_20240530_120127.pdf
SAE,946,--,"American Big Certifications","American Big Certifications","SAE CPE 23-001",México,Chihuahua,"Calle 25a 1/2 # 908, Colonia Santo Niño. CP. 31200",NULL,123ernesto.sanz@americanbigcertifications.com,"+52 614 125 3132",Acreditado,PERSONAS,"SO/IEC 17024:2012",Internacional,--,--,"2024-02-07 02:48:58",https://sisac.acreditacion.gob.ec/storage/users/ernesto.sanz/accreditation_application/1818/pdf_actives_scopes/2024_02_07_07_48_58_Alcances_E-SAE-CPE-23-001_20240207_074852.pdf
SAE,162,--,"AMSPEC DE ECUADOR S.A.","AMSPEC DE ECUADOR S.A.","SAE OI 15-001",Ecuador,Quito,"Rumipamba E2-194 y Av. República, Edificio Signature, Piso 8, Oficina 805",NULL,123christian.coloma@amspecgroup.com,"+593 2-351-8378",Acreditado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-11-18 06:49:05","https://sisac.acreditacion.gob.ec/storage/users/ccoloma1/accreditation_application/1671/pdf_actives_scopes/2024_11_18_11_49_05_Alcances_OAE OI 14-103_20241118_114903.pdf"
SAE,264,--,"ANAVANLAB CIA. LTDA.","ANALITICA AVANZADA - ASESORIA Y LABORATORIOS ANAVANLAB CIA. LTDA.","SAE LEN 13-006",Ecuador,Quito,"LEONARDO DA VINCI #S6-236 Y ALBERTO DURERO (CUMBAYA LA PRIMAVERA)",NULL,123wendyheredia@aaalab.com.ec,"+593 2-514-3303",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-02-07 03:23:30","https://sisac.acreditacion.gob.ec/storage/users/anavanlab/accreditation_application/809/pdf_actives_scopes/2024_02_07_08_23_30_Alcances_OAE LE 13-003_20240207_082314.pdf"
SAE,248,--,"Andes Petroleum Ecuador Ltd.","Andes Petroleum Ecuador Ltd.","SAE LEN 15-011",Ecuador,"Francisco de Orellana","El Coca, vía al Auca Km.35 margen izquierdo a 200 metros",NULL,123jaime.abad@andespetro.com,"+593 2-298-8500",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-08-08 14:12:08","https://sisac.acreditacion.gob.ec/storage/users/dayuma/accreditation_application/917/pdf_actives_scopes/2024_08_08_19_12_08_Alcances_SAE LE 15 - 012_20240808_191202.pdf"
SAE,1125,--,"ANDESLAB, Laboratorio de Análisis de alimentos, aguas y suelos","Lidia Aida Taipe Galarza","SAE LEN 24-009",Ecuador,Mejí­a,"Simón Bolivar N2 34 y Rafael Pérez Pareja",NULL,123recepcion@andeslaboratorios.com,"+593 99 278 9065",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-10-08 10:30:14",https://sisac.acreditacion.gob.ec/storage/users/andeslab2024/accreditation_application/2177/pdf_actives_scopes/2024_10_08_15_30_14_Alcances_E-SAE-LEN-24-007_20241008_153006.pdf
SAE,172,--,"APPLUS DEL ECUADOR","REVISIONES TÉCNICAS APPLUS DEL ECUADOR APPLUSITEUVE S.A","SAE OI 21-005",Ecuador,Guayaquil,"Calle: A.V. PM GILBERT sin número, frente al puerto Santa Ana, edificio The Point, piso 9, oficina 905",NULL,123psanchez.rodriguez@applus.com,"+593 99 529 0810",Acreditado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-03-05 12:02:12",https://sisac.acreditacion.gob.ec/storage/users/dastudillo973/accreditation_application/1573/pdf_actives_scopes/2024_03_05_17_02_12_Alcances_E-SAE-OI-21-003_20240305_170205.pdf
SAE,242,--,"AQLAB LABORATORIOS","AQLAB LABORATORIOS ACOSTA Y COMPAÑIA","SAE LEN 14-009",Ecuador,"Francisco de Orellana","Juan Huncite s/n y Fray Gregorio de Aluminia",NULL,123laboratorio@aqlabec.com,"+593 6-288-1715",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-02-07 03:23:40","https://sisac.acreditacion.gob.ec/storage/users/aqlab2013/accreditation_application/1148/pdf_actives_scopes/2024_02_07_08_23_40_Alcances_OAE 14-016_20240207_082331.pdf"
SAE,391,--,"ASIA SURVEYORS","ASIASURVEYORS S.A.",NULL,Ecuador,Guayaquil,"AV. JOSÉ ASSAF BUCARAM Intersección: 1ER. CALLEJÓN 13 A",NULL,123rhidalgo@annexasia.com,"+593 4-268-2295",Acreditado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-05-30 07:02:37",https://sisac.acreditacion.gob.ec/storage/users/raulasia22/accreditation_application/1302/pdf_actives_scopes/2024_05_30_12_02_37_Alcances_E-SAE-OI-22-0011_20240530_120232.pdf
SAE,955,--,ASIAM,"ASIAMBUSINESS DEL ECUADOR S.A","SAE OI 13-020",Ecuador,Quito,"Calle: RUMIPAMBA Número: E2-194 Intersección: REPUBLICA Edificio: SIGNATURE Número de oficina: 1101 Número de piso: 11",NULL,123calidad@asiam-lat.com,"+593 99 395 4008",Acreditado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-02-07 03:23:48","https://sisac.acreditacion.gob.ec/storage/users/lgaleano21insp/accreditation_application/754/pdf_actives_scopes/2024_02_07_08_23_48_Alcances_SAE OI 13-002_20240207_082342.pdf"
SAE,19,--,ASIAM,"Asiambusiness del Ecuador S.A.","SAE CP 21-001",Ecuador,Quito,"Rumipamba E2-194 y Av Republica",NULL,123calidad@asiam-lat.com,"+593 2-604-4744",Acreditado,PRODUCTOS,"NTE INEN-ISO/IEC 17065",Nacional,--,--,"2024-10-10 17:02:26",https://sisac.acreditacion.gob.ec/storage/users/lgaleano21/accreditation_application/1097/pdf_actives_scopes/2024_10_10_22_02_26_Alcances_E-SAE-CP-21-001_20241010_220219.pdf
SAE,492,--,"ASOCIACION HOLSTEIN FIRESIAN DEL ECUADOR","ASOCIACION HOLSTEIN FRIESIAN DEL ECUADOR","SAE LEN 19-013",Ecuador,Quito,"Conocoto, calle Manuela Cañizares OE3-101 y San Juan de Dios Morales.",NULL,123laboratorio@holsteinecuador.com,2348328,Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-11-14 03:40:06","https://sisac.acreditacion.gob.ec/storage/users/holsteinlab1/accreditation_application/1050/pdf_actives_scopes/2024_11_14_08_40_06_Alcances_E -SAE LEN 19 .007_20241114_084003.pdf"
SAE,94,--,ASOSERAGREFOR,"ASOCIACION DE SERVICIOS AGRICOLAS GREEN FORCE FUERZA VERDE ASOSERAGREFOR","SAE OI 22-004",Ecuador,Machala,"4TA NORTE ENTRE SANTA ROSA Y VELA",NULL,123asoseragrefor@gmail.com,"+593 98 151 5683",Retirado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-04-17 03:42:12",https://sisac.acreditacion.gob.ec/storage/users/asoseragrefor/accreditation_application/29/pdf_actives_scopes/2024_04_17_08_42_12_Alcances_E-SAE-OI-21-0010_20240417_084206.pdf
SAE,165,--,BCI,"BCIBUREAU CERTIFICACION & INSPECCION DE EQUIPOS S.A.","SAE OI 15-006",Ecuador,Quito,"EL MORLAN N49-81 Y CALLE C",NULL,123gestioncalidad@bci.com.ec,"+593 99 770 1045",Acreditado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-10-15 06:44:17","https://sisac.acreditacion.gob.ec/storage/users/acreditacionbci/accreditation_application/815/pdf_actives_scopes/2024_10_15_11_44_17_Alcances_OAE OI 14-116_20241015_114407.pdf"
SAE,574,--,"BEST-INSPECTION S A","BEST-INSPECTION S A","SAE OI 22-007",Ecuador,Quito,"PICHINCHA / QUITO / IÑAQUITO / REP. DEL SALVADOR N36-213 Y AV.NACIONES UNIDAS",NULL,123bryan.buri@bestinspectionsa.com,"+593 96 999 8888",Retirado,INSPECCION,"NTE INEN-ISO/IEC 17020:2013",Nacional,--,--,"2024-05-28 11:15:08",https://sisac.acreditacion.gob.ec/storage/users/fbestinspection/accreditation_application/1242/pdf_actives_scopes/2024_05_28_16_15_08_Alcances_E-SAE-OI-22-001_20240528_161502.pdf
SAE,877,--,BICERT,"BICERT, S.C.","SAE CSC 23-001",México,EDOMEX,"Retorno Hacienda de Rocío 6-12, Col. Hacienda de las Palmas; Huixquilucan CP 52763, EDOMEX",NULL,123alejandro.rios@bicert.com.mx,"+52 55 4515 3748",Acreditado,"SISTEMAS DE GESTIÓN DE CALIDAD","ISO/IEC 17021-1, ISO/IEC 17021-3",Internacional,--,--,"2024-02-07 03:27:07",https://sisac.acreditacion.gob.ec/storage/users/bicert2023/accreditation_application/1680/pdf_actives_scopes/2024_02_07_08_27_07_Alcances_E-SAE-CSC-23-001_20240207_082702.pdf
SAE,18,--,"Biofactor S.A.","Biofactor S.A.","SAE LEN 21-003",Ecuador,Durán,"kilometro 9.5 via duran tambo",NULL,123dmanosalvas@biofactor.com.ec,"+593 4-268-1905",Acreditado,ENSAYOS,"NTE INEN-ISO/IEC 17025:2018",Nacional,--,--,"2024-02-07 03:27:15","https://sisac.acreditacion.gob.ec/storage/users/biofactor2021/accreditation_application/1918/pdf_actives_scopes/2024_02_07_08_27_15_Alcances_E-SAE LEN 20.002_20240207_082709.pdf"
