idOrganizacion,IdEnsayo,EsyFechaRegistro,EsyLugarEjecucion,EsyTipoEnsayo,EsyEnsayo,EsyMuestra,EsyTecnica,EsyIntervaloMedicion,EsyMetodo
191,LEN-25,--,--,--,Humedad,--,Gravimetría,--,"AOAC Ed 21, 2019, 925.10"
191,LEN-26,--,--,--,"Aerobios Mesófilos Totales",--,Petrifilm,--,"Basado en AOAC,  Ed 21, 2019. 990.12"
191,LEN-27,--,--,--,"Mohos y Levaduras",--,Petrifilm,--,"Basado en AOAC,  Ed 21, 2019. 997.02"
191,LEN-28,--,--,--,Enterobacterias,--,Petrifilm,--,"Basado en AOAC,  Ed 21, 2019. 2003.01"
191,LEN-29,--,--,--,"Recuento de Coliformes Totales y E. Coli",--,"Compact dry",--,"Basado en AOAC RI: 110402 Ed 21, 2019."
191,LEN-30,--,--,--,Salmonella,--,Petrifilm,--,"Basado en AOAC 2014.01 Ed 21, 2019."
221,LEN-31,--,--,--,"Viscosidad Cinemática a 40°C",--,"Capilar de vidrio",--,"ASTM D445-21, 2021"
221,LEN-32,--,--,--,"Punto de inflamación",--,"Copa cerrada Pensky Martens",--,"ASTM D93-20, 2020"
221,LEN-33,--,--,--,Azufre,--,"Espectrofotometría de fluorescencia de Rayos X",--,"ASTM D4294-21, 2021"
221,LEN-34,--,--,--,Azufre,--,"Espectrofotometría de fluorescencia de Rayos X",--,"ASTM D4294-21, 2021"
221,LEN-35,--,--,--,Azufre,--,"Espectrofotometría de fluorescencia de Rayos X",--,"ASTM D4294-21, 2021"
298,LEN-36,--,--,--,Ruido,--,"Nivel de presión Sonora",--,"NTE INEN-ISO 1996:1:2014 NTE INEN-ISO 1996:2:2014 TULSMA, Libro VI, Anexo 5"
298,LEN-37,--,--,--,"Material particulado (PM 10)",--,Gravimetría,--,"EPA RFPS-0216-231,2013"
298,LEN-38,--,--,--,"Material particulado (PM 2,5)",--,Gravimetría,--,"EPA RFPS-0315-221"
298,LEN-39,--,--,--,"Ruido sonometría",--,"Nivel de presión Sonora",--,"<p>NTE INEN ISO 9612:2014</p>"
298,LEN-40,--,--,--,"Potencial de hidrógeno  (pH)",--,Electrometría,--,"<p>Standard Methods, Ed. 23. 2017, 4500 H+ B. Electrometric Method pH.</p>"
298,LEN-41,--,--,--,"Sólidos Totales",--,Gravimetría,--,"<p>Standard Methods, Ed. 23. 2017, 2540 B</p>"
298,LEN-42,--,--,--,"Sólidos Suspendidos Totales",--,Gravimetría,--,"<p>Standard Methods, Ed. 23. 2017, 2540 D</p>"
298,LEN-43,--,--,--,Sulfatos,--,"Espectrofotometría UV- VIS",--,"<p><span style="color: black,">Hach Methods 8051, Edición 11 de 10/2019</span></p>"
298,LEN-44,--,--,--,Turbidez,--,Nefelometría,--,"<p>Standard Methods, Ed. 23. 2017, 2130 B</p>"
298,LEN-45,--,--,--,"Sólidos disueltos totales",--,Gravimetría,--,"<p>Standard Methods, Ed. 23. 2017, 2540 C</p>"
298,LEN-46,--,--,--,"Demanda Química de Oxigeno (DQO)",--,"Espectrofotometría UV- VIS",--,"<p>Standard Methods, Ed. 23. 2017, 5220 D HACH 8000, Ed. 13. 2021</p>"
298,LEN-47,--,--,--,Temperatura,--,Termometría,--,"<p>Standard Methods, Ed. 23. 2017, 2550 B</p>"
298,LEN-48,--,--,--,Turbidez,--,Nefelometría,--,"<p>Standard Methods, Ed. 23. 2017, 2130 B</p>"
298,LEN-49,--,--,--,"Potencial de hidrógeno  (pH)",--,Electrometría,--,"<p>Standard Methods, Ed. 23. 2017, 4500 H+ B. Electrometric Method pH.</p>"
50,LEN-50,--,--,--,Grasa,--,"Espectroscopia IR",--,"ISO 9622:2013"
50,LEN-51,--,--,--,Proteína,--,"Espectroscopia IR",--,"ISO 9622:2013"
50,LEN-52,--,--,--,"Sólidos Totales",--,"Espectroscopia IR",--,"ISO 9622:2013"
50,LEN-53,--,--,--,"Células somáticas",--,"Citometría de Flujo",--,"UNE-EU ISO 13366-2:2006"
223,LEN-54,--,--,--,Grasa,--,"Espectrofotometría infrarroja",--,"<p>ISO 9622:2013. IDF 141</p>"
223,LEN-55,--,--,--,Proteína,--,"Espectrofotometría infrarroja",--,"<p>ISO 9622:2013. IDF 141</p>"
228,LEN-56,--,--,--,"Hierro (Fe)",--,"Espectrofotometría de Absorción Atómica de Llama",--,"<p>Standard Methods, Ed. 23, 2017 3111B</p>"
228,LEN-57,--,--,--,"Manganeso (Mn)",--,"Llama Aire Acetileno",--,"<p>Standard Methods, Ed. 23, 2017 3111B</p>"
228,LEN-58,--,--,--,Plata,--,"Llama Aire Acetileno",--,"<p>Standard Methods, Ed. 23, 2017 3111B</p>"
228,LEN-59,--,--,--,"Cobre (Cu)",--,"Espectrofotometría de Absorción Atómica de Llama",--,"<p>Standard Methods, Ed. 23, 2017 3111B</p>"
228,LEN-60,--,--,--,"Cobalto (Co)",--,"Llama Aire Acetileno",--,"<p>Standard Methods, Ed. 23, 2017 3111B</p>"
228,LEN-61,--,--,--,"Litio (Li)",--,"Espectrofotometría de Absorción Atómica de Llama",--,"<p>Standard Methods, Ed. 23, 2017 3111B</p>"
228,LEN-62,--,--,--,Zinc,--,"Llama Aire Acetileno",--,"<p>Standard Methods, Ed. 23, 2017 3111B</p>"
228,LEN-63,--,--,--,"Cromo Total (Cr)",--,"Llama Aire Acetileno",--,"<p>Standard Methods, Ed. 23, 2017 3111B</p>"
228,LEN-64,--,--,--,Turbidez,--,Nefelometría,--,"<p>Standard Methods, Ed. 23, 2017. 2130</p>"
228,LEN-65,--,--,--,Níquel,--,"Llama Aire Acetileno",--,"<p>Standard Methods, Ed. 23, 2017 3111B</p>"
228,LEN-66,--,--,--,Plomo,--,"Espectrofotometría de absorción atómica-Horno de grafito",--,"<p>Standard Methods, Ed. 23, 2017 3113 B</p>"
228,LEN-67,--,--,--,"Nitritos (NO2) o N-(NO2-)",--,Colorimetría,--,"<p>Standard Methods, Ed. 23, 2017 4500-NO2 B</p>"
228,LEN-68,--,--,--,"Demanda Bioquímica de Oxígeno 5 días",--,"Método del electrodo",--,"<p>Standard Methods, Ed. 23, 2017. 5210 B</p>"
228,LEN-69,--,--,--,"Demanda Química de Oxigeno (DQO)",--,Colorimetría,--,"<p>Standard Methods, Ed. 23, 2017. 5220 D</p>"
228,LEN-70,--,--,--,"Sólidos totales suspendidos",--,Gravimetría,--,"<p>Standard Methods, Ed. 23, 2017 2540 D</p>"
228,LEN-71,--,--,--,NTK,--,Volumetría,--,"<p>Standard Methods, Ed. 23, 2017 4500N B</p>"
228,LEN-72,--,--,--,N-NH3,--,Volumetría,--,"<p>Standard Methods, Ed. 23, 2017 4500NH3 C</p>"
228,LEN-73,--,--,--,"Potencial de hidrógeno  (pH)",--,Electrometría,--,"<p>Standard Methods, Ed. 23, 2017. 4500 H+B</p>"
228,LEN-74,--,--,--,"Cloro Libre y Residual",--,Colorimetría,--,"<p>Standard Methods, Ed. 23, 2017 4500-Cl G</p>"
228,LEN-75,--,--,--,Fluoruros,--,"Cromatografía de lones",--,"<p>Standard Methods, Ed. 23, 2017. 4110 B</p>"
228,LEN-76,--,--,--,Nitratos,--,"Cromatografía de lones",--,"<p>Standard Methods, Ed. 23, 2017. 4110 B</p>"
228,LEN-77,--,--,--,Sulfatos,--,"Cromatografía de lones",--,"<p>Standard Methods, Ed. 23, 2017. 4110 B</p>"
228,LEN-78,--,--,--,Fosfatos,--,"Cromatografía de lones",--,"<p>Standard Methods, Ed. 23, 2017. 4110 B</p>"
228,LEN-79,--,--,--,Bromuros,--,"Cromatografía de lones",--,"<p>Standard Methods, Ed. 23, 2017. 4110 B</p>"
228,LEN-80,--,--,--,Cloruros,--,"Cromatografía de lones",--,"<p>Standard Methods, Ed. 23, 2017. 4110 B</p>"
228,LEN-81,--,--,--,"Arsénico inorgánico (As)",--,"Espectrofotometría Absorción Atómica- Generación de Hidruros",--,"<p>Standard Methods, Ed. 23, 2017 3114 C</p>"
228,LEN-82,--,--,--,Mercurio,--,"Espectrofotometría de absorción atómica, vapor frío",--,"<p>Standard Methods, Ed. 23, 2017 3112 B</p>"
14,LEN-83,--,--,--,Turbidez,--,Nefelometría,--,"Standard Methods, Ed. 23, 2017, 
2130 B"
14,LEN-84,--,--,--,"Surfactantes aniónicos (Tensoactivos)",--,"Espectrofotometría UV- VIS",--,"Standard Methods, Ed. 23. 2017,
5540 C"
14,LEN-85,--,--,--,"Fósforo Total ( PO43 --P)",--,"Espectrofotometría UV- VIS",--,"HACH 10127 Edición 9.2014"
14,LEN-86,--,--,--,"Nitritos (NO2) o N-(NO2-)",--,"Espectrofotometría UV- VIS",--,"HACH 8507 Edición 11,2019"
14,LEN-87,--,--,--,"Nitrógeno de Nitritos (NO2  - N)",--,"Espectrofotometría UV- VIS",--,"HACH 8507 Edición 11,2019"
14,LEN-88,--,--,--,"Gases de combustión",--,"Celdas electroquímicas",--,"Método CTM 034 EPA,1999"
14,LEN-89,--,--,--,"Material particulado",--,Gravimetría,--,"EPA5 CFR Parte 60. 2002"
14,LEN-90,--,--,--,Ruido,--,"Nivel de presión Sonora",--,"ISO1996-2:2017, Parte2"
14,LEN-91,--,--,--,"Ruido en fuentes móviles",--,"Nivel de presión Sonora",--,"ISO 5130:2007"
14,LEN-92,--,--,--,Ruido,--,"Nivel de presión Sonora",--,"ISO9612:2009, Parte1"
14,LEN-93,--,--,--,"Dosimetría de Ruido",--,"Nivel de presión Sonora",--,"ISO9612:2009, Parte3
ANSI S 12.19. 1996"
14,LEN-94,--,--,--,"Temperaturas para confort térmico",--,Termometría,--,"UNE-EN-ISO 7730:2006
UNE-EN ISO 7243:2006"
14,LEN-95,--,--,--,Iluminación,--,Fotometría,--,"NOM-025-STPS. 1ra. Sección. 
2008"
14,LEN-96,--,--,--,"Material particulado (PM 2,5)",--,Gravimetría,--,"EPA CFR 40 PT 50 Apéndice L"
14,LEN-97,--,--,--,"Material particulado (PM 10)",--,Gravimetría,--,"EPA CFR 40 PT 50 Apéndice J"
14,LEN-98,--,--,--,"Particulas sedimentables",--,Gravimetría,--,"Método 502, Methods of Air 
Sampling and Analysis 
3rdEditionIntersocietyCommittee, 
Lewis Publisher, INC,
1988."
14,LEN-99,--,--,--,"Dureza total",--,Volumetría,--,"<p>HACH 8329, Ed. Ed. 09, 2019</p>"
14,LEN-100,--,--,--,"Dureza cálcica",--,Volumetría,--,"<p>HACH 8329, Ed. Ed. 09, 2019</p>"
14,LEN-101,--,--,--,"Calcio (Ca)",--,Cálculo,--,"<p>HACH 8329, Ed. Ed. 09, 2019</p>"
14,LEN-102,--,--,--,"Magnesio (Mg)",--,Cálculo,--,"<p>HACH 8329, Ed. Ed. 09, 2019</p>"
14,LEN-103,--,--,--,Alcalinidad,--,Volumetría,--,"<p>HACH 8203, Ed. Ed. 09, 2018</p>"
14,LEN-104,--,--,--,"Conductividad eléctrica",--,Electrometría,--,"<p>Standard Methods, Ed. 23, 2017 2510B</p>"
14,LEN-105,--,--,--,"Demanda Química de Oxigeno (DQO)",--,"Espectrofotometría UV- VIS",--,"<p>HACH 8000, Ed. 13, 2021</p>"
14,LEN-106,--,--,--,Fenoles,--,"Espectrofotometría UV- VIS",--,"<p>HACH 8047 Edición 8.2014</p>"
14,LEN-107,--,--,--,"Vibraciones Cuerpo Entero",--,Acelerómetro,--,"<p>UNE-ISO 2631-1:2008</p>"
14,LEN-108,--,--,--,Vibración,--,Acelerómetro,--,"<p>UNE-EN ISO 2631-2:2011 Parte 2</p>"
14,LEN-109,--,--,--,"Índice de vibración (Law)",--,Cálculo,--,"<p>UNE-EN ISO 2631-2:2011 Parte 2</p>"
14,LEN-110,--,--,--,"Vibraciones Mano – Brazo",--,Acelerómetro,--,"<p>ISO 5349-2:2002</p>"
14,LEN-111,--,--,--,"Sólidos disueltos",--,Gravimetría,--,"<p>Standard Methods, Ed. 23, 2017 2540C</p>"
14,LEN-112,--,--,--,"Sólidos totales",--,Gravimetría,--,"<p>Standard Methods, Ed. 23, 2017 2540B</p>"
14,LEN-113,--,--,--,"Sólidos Suspendidos Totales",--,Gravimetría,--,"<p>Standard Methods, Ed. 23, 2017 2540D</p>"
14,LEN-114,--,--,--,"Potencial de hidrógeno  (pH)",--,Electrometría,--,"<p>Standard Methods, Ed. 23, 2017 4500-H+ B</p>"
14,LEN-115,--,--,--,"Aceites y grasas",--,Gravimetría,--,"<p>Standard Methods, Ed. 23, 2017 5520 D</p>"
14,LEN-116,--,--,--,"Hidrocarburos totales de petróleo (TPH)",--,Gravimetría,--,"<p>Standard Methods. Ed. 23, 2017 5520D, F</p>"
14,LEN-117,--,--,--,Nitratos,--,Espectrofotometría,--,"<p>HACH 8039 Ed. 10, 2019</p>"
14,LEN-118,--,--,--,Cloruros,--,Volumetría,--,"<p>HACH 8206, Ed. 08, 2015</p>"
14,LEN-119,--,--,--,"Cromo hexavalente",--,Espectrofotometría,--,"<p>HACH 8023 Ed 10, 2019</p>"
14,LEN-120,--,--,--,"Polvo respirable",--,Gravimetría,--,"<p>NIOSH 0600:1998</p>"
14,LEN-121,--,--,--,"Partículas totales",--,Gravimetría,--,"<p>NIOSH 0500:1994</p>"
14,LEN-122,--,--,--,Sulfatos,--,"Espectrofotometría UV- VIS",--,"<p>HACH 8051-Ed. 11. 2019</p>"
14,LEN-123,--,--,--,"Temperaturas para Estrés Térmico",--,Termometría,--,"<p>UNE-EN-ISO 7243:2017</p>"
45,LEN-124,--,--,--,Sulfuros,--,"Espectrofotometría UV-Vis",--,"HACH No 8131 12/997 ed"
45,LEN-125,--,--,--,"Color aparente",--,Espectrofotometría,--,"HACH No 8025 12/99 7 ed."
45,LEN-126,--,--,--,"Color Real",--,Espectrofotometría,--,"HACH No 8025 12/99 7 ed."
45,LEN-127,--,--,--,"Cloro libre residual",--,Espectrofotometría,--,"WTW No 325 y 326  04/2013 ed."
45,LEN-128,--,--,--,Conductividad,--,Electrometría,--,"<p>Standard Methods 24 Th, 2023. 2510 B.</p>"
45,LEN-129,--,--,--,Hierro,--,"Absorción Atómica",--,"<p>Standard Methods 24 Th, 2023. 3111 B.</p>"
45,LEN-130,--,--,--,Sodio,--,"Absorción atómica-llama",--,"<p>Standard Methods 24 Th, 2023. 3111 B</p>"
45,LEN-131,--,--,--,Fosfatos,--,"Espectrofotometría UV-Vis",--,"<p>Standard Methods 24Th, 2023, 4500- P C</p>"
45,LEN-132,--,--,--,Silice,--,"Espectrofotometría UV-Vis",--,"<p>Modificado Standard Methods 24 Th, 2023, 4500- SiO2 C</p>"
45,LEN-133,--,--,--,Sulfatos,--,Espectrofotometría,--,"<p>HACH No 8051 12/997 ed.</p>"
45,LEN-134,--,--,--,Tensoactivos,--,"Espectrofotometría UV- VIS",--,"<p>Modificado de Standard Methods 24 Th, 2023. 5540 C.</p>"
45,LEN-135,--,--,--,Arsénico,--,"Absorción Atómica",--,"<p>Modificado de Standard Methods 24 Th, 2023. 3114 B.</p>"
45,LEN-136,--,--,--,Turbidez,--,Nefelometría,--,"<p>Standard Methods 24 Th, 2023. 2130 B.</p>"
45,LEN-137,--,--,--,Fluoruros,--,"Espectrofotometría UV-Vis",--,"<p>Standard Methods 24 Th, 2023. 4500 F-. D.</p>"
45,LEN-138,--,--,--,"Sólidos Totales",--,Gravimetría,--,"<p>Standard Methods 24 Th, 2023. 2540 A y B.</p>"
45,LEN-139,--,--,--,"Potencial de hidrógeno  (pH)",--,Electrometría,--,"<p>Standard Methods 24 TH, 2023. 4500 H+ B.</p>"
45,LEN-140,--,--,--,"Sólidos totales suspendidos",--,Gravimetría,--,"<p>Standard Methods 24 Th, 2023, 2540 D</p>"
45,LEN-141,--,--,--,"Sólidos totales disueltos",--,Gravimetría,--,"<p>Modificado Standard Methods 24 Th, 2023. 2540 C.</p>"
45,LEN-142,--,--,--,"Aceites y grasas",--,Gravimetría,--,"<p>Modificado de Standard Methods 24 Th, 2023, 5520 B</p>"
45,LEN-143,--,--,--,Cloruros,--,Volumetría,--,"<p>Standard Methods 24Th, 2023. 4500 Cl- B</p>"
45,LEN-144,--,--,--,Alcalinidad,--,Volumetría,--,"<p>Standard Methods  24 Th, 2023. 2320 B.</p>"
45,LEN-145,--,--,--,"Dureza total",--,Volumetría,--,"<p>Standard Methods  24 Th, 2023. 2340 C.</p>"
45,LEN-146,--,--,--,"Dureza cálcica",--,Volumetría,--,"<p>Standard Methods 24Th, 2023. 3500 Ca B.</p>"
45,LEN-147,--,--,--,"Oxígeno disuelto",--,Volumetría,--,"<p>Standard Methods 24 Th, 2023. 4500-O C</p>"
45,LEN-148,--,--,--,"Demanda bioquímica de oxígeno (DBO5)",--,"(Winkler) Volumetría",--,"<p>Standard Methods 24Th, 2023. 5210 B y 4500-O C</p>"
45,LEN-149,--,--,--,Cadmio,--,"Absorción Atómica",--,"<p>Standard Methods  24 Th, 2023. 3111 B.</p>"
45,LEN-150,--,--,--,Manganeso,--,"Absorción Atómica",--,"<p>Standard Methods  24 Th, 2023. 3111 B</p>"
45,LEN-151,--,--,--,Zinc,--,"Absorción atómica-llama",--,"<p>Modificado Standard Methods 24 Th, 2023, 3111 B</p>"
45,LEN-152,--,--,--,"Fósforo total",--,"Espectrofotometría UV-Vis",--,"<p>Standard Methods  24 Th, 2023. 4500-P B y C.</p>"
45,LEN-153,--,--,--,"Demanda Química de Oxigeno (DQO)",--,Espectrofotometría,--,"<p>HACH No 8000 12/997 ed.</p>"
45,LEN-154,--,--,--,"Cobre (Cu)",--,"Absorción Atómica",--,"<p>Standard Methods 24 Th, 2023. 3111 B.</p>"
45,LEN-155,--,--,--,"Hidrocarburos totales de petróleo (TPH)",--,Infrarrojo,--,"<p>Modificado de Standard Methods 24 Th.2023 5520 C y F</p>"
45,LEN-156,--,--,--,"Coliformes Totales y  E. coli",--,"Tubos múltiples Sustrato Enzimático",--,"<p>Standard Methods 24 Th.2023. 9223 B</p>"
45,LEN-157,--,--,--,"Coliformes fecales",--,"Tubos múltiples Sustrato Enzimático",--,"<p>Modificado de Standard Methods 24 Th.2023 9221 E1</p>"
45,LEN-158,--,--,--,"Coliformes Totales y  E. coli",--,"Tubos múltiples Sustrato Enzimático",--,"<p>Standard Methods 24Th.2023 9223 B</p>"
45,LEN-159,--,--,--,"Coliformes fecales",--,"Tubos múltiples Sustrato Enzimático",--,"<p>Modificado de Standard Methods 24 Th.2023 9221 E1</p>"
45,LEN-160,--,--,--,"Potencial de hidrógeno  (pH)",--,Electrometría,--,"<p>Standard Methods 24 Th, 2023. 4500 H+ B</p>"
45,LEN-161,--,--,--,Conductividad,--,Electrometría,--,"<p>'Standard Methods 24 Th, 2023. 2510 B</p>"
45,LEN-162,--,--,--,Turbidez,--,Nefelometría,--,"<p>Standard Methods 24 Th, 2023. 2130 B</p>"
45,LEN-163,--,--,--,"Sólidos sedimentables",--,Volumetría,--,"<p>Standard Methods 24 Th, 2023. 2540 F</p>"
45,LEN-164,--,--,--,"Nitratos como Nitratos (NO3-NO3)",--,"Espectrofotometría UV-Vis, Cálculo",--,"<p>Standard Methods 24 Th, 2023. 4500 NO3- A y B</p>"
45,LEN-165,--,--,--,"Cromo hexavalente",--,"Espectrofotometría UV- VIS",--,"<p>Modificado Standard Methods 24 Th, 2023. 3500-Cr B</p>"
45,LEN-166,--,--,--,"Nitritos como Nitritos (NO2-NO2)",--,"Espectrofotometría UV-Vis, Cálculo",--,"<p>Standard Methods 24 Th, 2023. 4500 NO2- B</p>"
45,LEN-167,--,--,--,Potasio,--,"Absorción atómica-llama",--,"<p>Standard Methods 24 Th, 2023. 3111 B</p>"
45,LEN-168,--,--,--,Calcio,--,"Volumetría (Calculo)",--,"<p>Standard Methods 24 Th, 2023. 3500-Ca B</p>"
45,LEN-169,--,--,--,Magnesio,--,"Volumetría (Calculo)",--,"<p>Standard Methods 24 Th, 2023. 3500 Mg B</p>"
45,LEN-170,--,--,--,"Nitrógeno amoniacal (N-NH3)",--,"Espectrofotometría UV-Vis",--,"<p>Standard Methods 24 Th, 2023. 4500-NH3+ F</p>"
45,LEN-171,--,--,--,"Nitritos como Nitrógeno (NO2-N)-",--,"Espectrofotometría UV-Vis",--,"<p>Standard Methods 24 Th , 2023. 4500 NO2- B</p>"
45,LEN-172,--,--,--,"Nitratos como Nitrógeno (NO3-N)-",--,"Espectrofotometría UV-Vis",--,"<p>Standard Methods 24 Th, 2023. 4500 NO3- A y B.</p>"
221,LEN-173,--,--,--,"Viscosidad Cinemática a 40°C",--,"Capilar de vidrio",--,"ASTM D445-19, 2019"
221,LEN-174,--,--,--,"Punto de inflamación",--,"Copa cerrada Pensky Martens",--,"ASTM D93-18, 2018"
221,LEN-175,--,--,--,Azufre,--,"Espectrofotometría de fluorescencia de Rayos X",--,"ASTM D4294-16e1, 2016"
33,LEN-176,--,--,--,"Detección de Anticuerpos contra Anemia Infecciosa Equina",--,"Inmunodifusión en Gel de Agar (Test de Coggins)",--,"<p><span style="color: black,">OMSA. Manual de las Pruebas de Diagnóstico y de las Vacunas para los Animales Terrestres 2022, Capítulo 3.6.6 Anemia Infecciosa Equina 2019.</span></p><p><span style="color: black,">&nbsp,</span></p><p><span style="color: black,">Inserto kit IDEXX</span></p><p><span style="color: black,">Inserto kit VRMD</span></p>"
33,LEN-177,--,--,--,"Detección de Anticuerpos contra Brucella",--,"Aglutinación en placa (Rosa de Bengala) BOVINO",--,"<p><span style="color: black,">OMSA. Manual de las Pruebas de Diagnóstico y de las Vacunas para los Animales Terrestres 2022, Capítulo 3.1.4 Brucelosis 2021.</span></p>"
33,LEN-178,--,--,--,"Diagnóstico de Mycobacterium bovis",--,"Intradermo reacción ano - caudal",--,"<p><span style="color: black,">OMSA. Manual de las Pruebas de Diagnóstico y de las Vacunas para los Animales Terrestres 2022, Capítulo 3.1.13 Tuberculosis de los mamíferos (infección por el complejo </span><em style="color: black,">Mycobacterium tuberculosis</em><span style="color: black,">) 2022.</span></p>"
33,LEN-179,--,--,--,"Diagnóstico de Mycobacterium bovis",--,"Intradermo reacción cervical comparativa",--,"<p><span style="color: black,">OMSA. Manual de las Pruebas de Diagnóstico y de las Vacunas para los Animales Terrestres 2022, Capítulo 3.1.13 Tuberculosis de los mamíferos (infección por el complejo </span><em style="color: black,">Mycobacterium tuberculosis</em><span style="color: black,">) 2022.</span></p>"
33,LEN-180,--,--,--,"Detección de Anticuerpos contra Brucella",--,"Microelisa (ELISA competitiva)",--,"<p><span style="color: black,">OMSA. Manual de las Pruebas de Diagnóstico y de las Vacunas para los Animales Terrestres 2022, Capítulo 3.1.4 Brucelosis bovina 2021.</span></p><p><span style="color: black,">Inserto Kit Svanova</span></p><p><br></p><p><span style="color: black,">Inserto kit ELLIE</span></p>"
69,LEN-181,--,--,--,"Identificación taxonómica de trips",--,Microscopia,--,"PEST  THRIPS  OF  THE 
WORLD  Visual  and 
molecular  identification  of 
pest thrips: 2004"
69,LEN-182,--,--,--,"Nitrogeno total",--,Combustión,--,"AOAC Edición 21, 2019, 993.13."
69,LEN-183,--,--,--,"Determinación de Metales",--,"Espectroscopía de absorción atómica (AA)",--,"AOAC Edición 21, 2019,
965.09"
69,LEN-184,--,--,--,"Detección del Virus del Mosaico de brácteas de Banano",--,"DAS - ELISA",--,"DAS ELISA AGDIA, para Banana Bract Mosaic Virus (BBrMV), 2016"
69,LEN-185,--,--,--,"Identificación de Pseudomonas fluorescens",--,BIOLOG,--,"Método A, Microplate de BIOLOG (kit comercial), 2010"
69,LEN-186,--,--,--,"Identificación molecular de fiebre Aftosa",--,"PCR Convencional,  
Serotipo A y O",--,"Clavijo, A., Viera Pereira, P., J.,
Bergman, I. 2003. “Use of the
Reverse  Transcription 
Polymerase Chain reaction
(RT-PCR) for the Rapid 
Diagnosis of Foot and Mouth
Disease in South America 
PANAMERICAN Foot and
Mouth Disease center, 
Veterinary.Research
ommunications, 27 (63-71).
Kluwer Academic Publisher
Printed in the Netherlands.
(MODIFICADO)
 
Scott, M., Reid, Nigel, P.,
Ferris, Geoffrey, H., Hutchings,
Alan, R., Samuel, Nick, J.,
Knowles. 2000. “Primary diagnosis of foot and mouth
disease by reverse transcription
polymerase chain reaction”,
Institute for Animal Health,
Pirbright Laboratory, Ash Road,
Pirbright, Working, Surrey
GU24 ONF, UK, ELSEVIER,
Journal of Virological Methods
89 (167-176) (MODIFICADO). 

RT-PCR and Sequencing
Protocols for the Molecular
Epidemiology of Exotic Virus
Diseases of Animals. 1998.
(MODIFICADO)"
69,LEN-187,--,--,--,"Identificación taxonómica y recuento de nematodos fitoparásitos",--,"Método de flotación y centrifugación de los géneros:


-Meloidogyne sp.
-Helicotylenchus sp.
-Pratylenchus sp",--,"European and Mediterranean Plant Protection Organization. EPPO (2013). PM 7/119 (1) Bulletin, 43(3), 471- 495.
  
-C.I.H Description of plant-parasitic nematodes, Institute of Helminthology St. Albans Herts, England. Published in Wallingford by CAB international. Print available from 1972-1985.
 
-MAI, W.F. & LYON, H.H. (1975). Pictorial key to genera of plant-parasitic nematodes. Ed. Universidad de Cornell, ed. 4. New York."
